feat	id
SASH1	1186
UST	1187
SOD2	1188
PHACTR1	1189
MDGA1	1190
CD83	1191
RBM24	1192
CAP2	1193
BAG2	1194
BVES	1195
WASF1	1196
ALDH5A1	1197
CRYBG1	1198
EYA4	1199
PERP	1200
ARFGEF3	1201
ADGRG6	1202
PHACTR2	1203
QKI	1204
PDE10A	1205
MDFI	1206
SMOC2	1207
PTK7	1208
VEGFA	1209
LAMA4	1210
TENT5A	1211
CLIC5	1212
ENPP5	1213
PRSS16	1214
TBX18	1215
PCDHB2	1216
SEMA5A	1217
GHR	1218
HMGCS1	1219
NNT	1220
HBEGF	1221
LOX	1222
SPARC	1223
PCDHB5	1224
PCDHB6	1225
HAVCR1	1226
RNF130	1227
POLR3G	1228
CDH6	1229
ARRDC3	1230
NPR3	1231
IRX4	1232
PDE4D	1233
PRLR	1234
SLC12A7	1235
ST8SIA4	1236
FGF1	1237
NR3C1	1238
LIFR	1239
WWC1	1240
DPYSL3	1241
PDGFRB	1242
CDX1	1243
STC2	1244
CPEB4	1245
DBN1	1246
UNC5A	1247
BCL6	1248
HGD	1249
CLDN16	1250
CD86	1251
AMOTL2	1252
RBP1	1253
KAT2B	1254
BCHE	1255
LRRC31	1256
WNT5A	1257
PFKFB4	1258
COL7A1	1259
FGF12	1260
HES1	1261
GNAI2	1262
USP9Y	1263
HYAL1	1264
C3orf14	1265
GNB4	1266
IQCG	1267
GBE1	1268
C3orf52	1269
FRMD4B	1270
ROPN1B	1271
PODXL2	1272
UPK1B	1273
CSPG5	1274
PLSCR4	1275
CISH	1276
AADAC	1277
ARHGEF26	1278
PLCH1	1279
VIPR1	1280
TNNC1	1281
FOXP1	1282
SLC4A3	1283
ADAM23	1284
RTKN	1285
IL1A	1286
CCL20	1287
KCNIP3	1288
STEAP3	1289
TFCP2L1	1290
TP53I3	1291
CYTIP	1292
TANC1	1293
ITGB6	1294
FNDC4	1295
ITGA4	1296
REEP6	1297
GCG	1298
IFIH1	1299
GCA	1300
GRB14	1301
CLIP4	1302
SPTBN1	1303
LOXL3	1304
DOK1	1305
GALNT3	1306
CCDC88A	1307
EVA1A	1308
EFEMP1	1309
REG1A	1310
FN1	1311
STAT1	1312
GLS	1313
IGFBP2	1314
IGFBP5	1315
EFHD1	1316
ST3GAL5	1317
CHST10	1318
IL1R2	1319
IL1R1	1320
SLC9A2	1321
FHL2	1322
MLPH	1323
ABCB6	1324
ID2	1325
HPCAL1	1326
ODC1	1327
PRKD3	1328
QPCT	1329
DLX2	1330
SDC1	1331
SLC1A4	1332
KYNU	1333
WIPF1	1334
RND3	1335
EPAS1	1336
ARID3A	1337
ATP6V1B1	1338
EPHA4	1339
PRRX1	1340
DHCR24	1341
MARK1	1342
GPX7	1343
QSOX1	1344
ERRFI1	1345
ELAPOR1	1346
RHOU	1347
FBXO2	1348
FBXO6	1349
C1orf21	1350
DNAJC6	1351
NCF2	1352
PLA2G4A	1353
GADD45A	1354
WLS	1355
RGS2	1356
CTH	1357
AGMAT	1358
OLFML3	1359
KIF21B	1360
NID1	1361
LGALS8	1362
BMP8B	1363
MYCL	1364
SIPA1L2	1365
KMO	1366
RIMS3	1367
AKT3	1368
ST6GALNAC5	1369
ADGRL2	1370
PADI2	1371
MFAP2	1372
KDM5B	1373
UAP1	1374
ACTL8	1375
RGS4	1376
GBP3	1377
GBP1	1378
CDK18	1379
ECE1	1380
ID3	1381
P3H1	1382
SLC2A1	1383
ARTN	1384
PRDX1	1385
PIK3R3	1386
TSPAN1	1387
FAAH	1388
CNN3	1389
F3	1390
IRF6	1391
MAN1C1	1392
MTARC2	1393
MUC5B	1394
CTSD	1395
MMP8	1396
APOA1	1397
TNNT2	1398
MREG	1399
NRP2	1400
KLF7	1401
B4GALT6	1402
C1orf54	1403
CA14	1404
IRAG2	1405
ATP10B	1406
ELOVL4	1407
SGIP1	1408
PLAGL1	1409
TNFAIP3	1410
AKAP7	1411
RAB32	1412
MYB	1413
SGK1	1414
CCN2	1415
SLC16A7	1416
VAMP8	1417
PKD2	1418
ABCG2	1419
SPP1	1420
RARRES1	1421
PPL	1422
LDAH	1423
CCND2	1424
ELL2	1425
SATB2	1426
GDA	1427
KLF9	1428
TJP2	1429
CCDC92	1430
CTNNAL1	1431
NEK6	1432
BSPRY	1433
NR4A3	1434
GALNT12	1435
PGF	1436
IFI27L2	1437
NPC2	1438
ACOT2	1439
LTBP2	1440
TGFB3	1441
RHOQ	1442
KLHL29	1443
DNMT3A	1444
FKBP1B	1445
CNRIP1	1446
BCL11A	1447
EPCAM	1448
OGFRL1	1449
IFIT3	1450
IFIT2	1451
PPP1R3C	1452
PYROXD2	1453
CNNM1	1454
MXI1	1455
AVPI1	1456
CPN1	1457
HOXB8	1458
HOXB5	1459
HOXB3	1460
DUSP1	1461
MSX2	1462
MOB3B	1463
MLANA	1464
CD274	1465
LRP11	1466
PLEKHG1	1467
CYSTM1	1468
ARAP3	1469
PCDHB8	1470
KIAA1217	1471
PLXDC2	1472
ENOX1	1473
DNAJC15	1474
TGFBI	1475
EGR1	1476
PLS1	1477
ZFP30	1478
GLT8D2	1479
SOCS2	1480
DUSP4	1481
CLU	1482
TNFRSF10B	1483
SORBS3	1484
PTK2B	1485
PDLIM2	1486
EPHX2	1487
NPPB	1488
TNFRSF8	1489
CRISPLD1	1490
RDH10	1491
SCPEP1	1492
TBX2	1493
TRIM6	1494
ABCC11	1495
ADCY7	1496
TSHZ3	1497
